0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
-8.0,-8.0,-9.0,-9.0,-9.0,-6.0,-9.0,-9.0,-6.0,-3.0,0.0,3.0,6.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
-8.0,-8.0,-9.0,-9.0,-9.0,-9.0,-7.9286,-4.9286,-1.9286,1.0714,4.0714,7.0714,9.0,7.9286,9.0,9.0,9.0,9.0,9.0,9.0,9.0
-8.0,-8.0,-9.0,-9.0,-9.0,-9.0,-6.0,-4.8462,-4.8462,-1.8462,1.1538,4.1538,7.1538,7.8462,9.0,9.0,9.0,9.0,9.0,9.0,9.0
-8.0,-8.0,-9.0,-9.0,-9.0,-9.0,-7.75,-4.75,-4.75,-1.75,1.25,4.25,7.25,7.75,9.0,9.0,9.0,9.0,9.0,9.0,9.0
-8.0,-8.0,-9.0,-9.0,-9.0,-7.6364,-4.6364,-1.6364,0.0,3.0,6.0,9.0,9.0,7.6364,9.0,9.0,9.0,9.0,9.0,9.0,9.0
-8.0,-8.0,-9.0,-9.0,-9.0,-7.5,-4.5,-1.5,1.5,1.5,4.5,6.0,9.0,9.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5
-8.0,-8.0,-9.0,-9.0,-9.0,-6.0,-3.0,-1.5,1.5,4.5,4.5,6.0,9.0,7.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0
-8.0,-8.0,-9.0,-9.0,-9.0,-6.0,-3.0,-1.5,1.5,4.5,4.5,6.0,9.0,7.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0
-8.0,-8.0,-9.0,-9.0,-7.5,-4.5,-1.5,1.5,4.5,6.0,9.0,9.0,9.0,9.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5
-8.0,-8.0,-5.0,-2.0,1.0,1.5,-1.5,1.5,4.5,7.5,9.0,6.0,9.0,7.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0
